"crop","sum","fertilizer","candidate_name","party","evm_votes"
"Arecanut","268","27370.84","SANGARAJU NAGESWARA RAJU","Independent",1523
"Small millets","1961","192511.37","MAKEY DAVY PRASAD","Independent",2104
"Small millets","1961","192511.37","EDA SUDHAKARA REDDY","Indian National Congress",25803
"Sweet potato","1938","190253.46","ADINARAYANA DUPPANAPUDI","Independent",1002
"Sweet potato","1938","190253.46","DR. GANAPATHI KONGARAPU.","Republican Party of India (A)",944
"Gram","100","9817","CHELLURI DANIYAL","Independent",796
"Gram","100","9817","Y. MAHESH","Independent",615
"Sweet potato","1938","190253.46","N.BHUPATHI","Independent",862
"Arecanut","268","27370.84","GOGULA SUGUNAMMA","Jai Maha Bharath Party",375
"Arecanut","262","25720.54","MOHANARAO SINGULURI","Jai Bharat National Party",2818
"Arecanut","262","25720.54","A. PURNA CHANDRA","Independent",856
"Gram","91","9293.83","GURUMOORTHY MADDILA","Yuvajana Sramika Rythu Congress Party",626702
"Arecanut","262","25720.54","MADA RAJA","Jaathia Chethi Vruthula Ikya Vedika Party",1415
"Sweet potato","1938","190253.46","NOTA","None of the Above",5171
"Sweet potato","1938","190253.46","KOPPULA RAJU","Indian National Congress",53264
"Small millets","1961","192511.37","YAMPATI VEERANJANEYA REDDY","Independent",1056
"Gram","91","9293.83","ANDUKURI VIJAYA BHASKAR","India Praja Bandhu Party",1098
"Gram","91","9293.83","K.MUNI KRISHNA","Independent",3954
"Gram","91","9293.83","MADASI SUDHARSHAN","Independent",1575
"Arecanut","268","27370.84","KATTAPOGU. VIJAY KUMAR","Pyramid Party of India",893
"Gram","91","9293.83","LOVARAJU SIDDHA","Independent",3845
"Sweet potato","1938","190253.46","C.M.RAMESH","Bharatiya Janata Party",750027
"Sweet potato","1938","190253.46","PERAM SIVA NAGESWARA RAO","Republican Party of India (Athawale)",365
"Arecanut","262","25720.54","LOKANATH GOWD SURAGOWINI","Independent",1085
"Sweet potato","1938","190253.46","BUSSA. NAGARAJU","Independent",1311
"Gram","91","9293.83","TILAK PERADA","Yuvajana Sramika Rythu Congress Party",420394
"Gram","100","9817","ADDEPALLI VEERA VENKAT SUBBA RAO","Independent",2781
"Small millets","1961","192511.37","PASUPULETI PICHAIAH","National Nava Kranthi Party",353
"Sweet potato","1938","190253.46","T NARESH","Independent",532
"Arecanut","268","27370.84","THOGURU VIJAYA KUMAR","Bahujan Samaj Party",13389
"Small millets","1961","192511.37","ADINARAYANA TADDI","Independent",855
"Arecanut","262","25720.54","J. V. RAMANA","Jaathia Chethi Vruthula Ikya Vedika Party",414
"Sweet potato","1938","190253.46","JUNNURI J SRINIVAS","Independent",1195
"Arecanut","268","27370.84","GUMMA THANUJA RANI","Yuvajana Sramika Rythu Congress Party",471470
"Arecanut","262","25720.54","VESHAPOGU GURAVABABU","Independent",457
"Gram","100","9817","VABA YOGESWARA RAO","Independent",3472
"Arecanut","268","27370.84","N DASARADHA RAMI REDDY","All India Jaihind Party",268
"Gram","91","9293.83","MALIKIREDDY. HANUMANTHA REDDY","Jana Sahayaka Sakthi",358
"Arecanut","262","25720.54","BALIJA SHIVA KUMAR","Independent",288
"Small millets","1961","192511.37","BOMMALI TIRUPATI RAO","Pyramid Party of India",589
"Arecanut","262","25720.54","DR. REDDYPOGU PRAVEEN KUMAR","Independent",1847
"Arecanut","262","25720.54","VIJAYA KUMAR.G","Independent",797
"Gram","91","9293.83","BOMMANABOINA VSR MURTHY","Independent",2173
"Arecanut","262","25720.54","RUKHMINI","Independent",683
"Arecanut","262","25720.54","SYED KHAMURUNNISA","Navarang Congress Party",600
"Gram","100","9817","ANIL KUMAR MADDINENI","Independent",1240
"Arecanut","268","27370.84","MARADANI K R SWAMY","Jai Maha Bharath Party",2206
"Small millets","1961","192511.37","ANKIREDDY. SURESH KUMAR REDDY.","All India Forward Bloc",752
