Date,State_Id,TotalSamples,Negative,Positive
19-06-2021,Andaman and Nicobar Islands,400997,0,7394
20-06-2021,Andaman and Nicobar Islands,401769,0,7406
21-06-2021,Andaman and Nicobar Islands,402629,0,7415
22-06-2021,Andaman and Nicobar Islands,403616,0,7425
23-06-2021,Andaman and Nicobar Islands,404494,0,7438
24-06-2021,Andaman and Nicobar Islands,405197,0,7440
25-06-2021,Andaman and Nicobar Islands,405887,0,7441
26-06-2021,Andaman and Nicobar Islands,406529,0,7446
27-06-2021,Andaman and Nicobar Islands,407488,0,7455
28-06-2021,Andaman and Nicobar Islands,408220,0,7462
29-06-2021,Andaman and Nicobar Islands,409212,0,7466
30-06-2021,Andaman and Nicobar Islands,409890,0,7467
01-07-2021,Andaman and Nicobar Islands,410741,0,7469
02-07-2021,Andaman and Nicobar Islands,411442,0,7475
03-07-2021,Andaman and Nicobar Islands,412361,0,7478
04-07-2021,Andaman and Nicobar Islands,413316,0,7482
05-07-2021,Andaman and Nicobar Islands,414166,0,7482
06-07-2021,Andaman and Nicobar Islands,415066,0,7487
07-07-2021,Andaman and Nicobar Islands,416065,0,7491
08-07-2021,Andaman and Nicobar Islands,416815,0,7492
09-07-2021,Andaman and Nicobar Islands,417598,0,7492
10-07-2021,Andaman and Nicobar Islands,418550,0,7492
11-07-2021,Andaman and Nicobar Islands,419287,0,7492
12-07-2021,Andaman and Nicobar Islands,420157,0,7493
13-07-2021,Andaman and Nicobar Islands,421108,0,7496
14-07-2021,Andaman and Nicobar Islands,421940,0,7499
15-07-2021,Andaman and Nicobar Islands,422876,0,7501
16-07-2021,Andaman and Nicobar Islands,423910,0,7505
17-07-2021,Andaman and Nicobar Islands,425268,0,7506
18-07-2021,Andaman and Nicobar Islands,426511,0,7510
19-07-2021,Andaman and Nicobar Islands,427711,0,7516
20-07-2021,Andaman and Nicobar Islands,428751,0,0
21-07-2021,Andaman and Nicobar Islands,429739,0,0
22-07-2021,Andaman and Nicobar Islands,430415,0,0
23-07-2021,Andaman and Nicobar Islands,431486,0,0
24-07-2021,Andaman and Nicobar Islands,432627,0,0
25-07-2021,Andaman and Nicobar Islands,433596,0,0
26-07-2021,Andaman and Nicobar Islands,434929,0,0
27-07-2021,Andaman and Nicobar Islands,436240,0,0
28-07-2021,Andaman and Nicobar Islands,437301,0,0
29-07-2021,Andaman and Nicobar Islands,438456,0,0
30-07-2021,Andaman and Nicobar Islands,439639,0,0
31-07-2021,Andaman and Nicobar Islands,440870,0,0
01-08-2021,Andaman and Nicobar Islands,442063,0,0
02-08-2021,Andaman and Nicobar Islands,443192,0,0
03-08-2021,Andaman and Nicobar Islands,444838,0,0
04-08-2021,Andaman and Nicobar Islands,445987,0,0
05-08-2021,Andaman and Nicobar Islands,447339,0,0
06-08-2021,Andaman and Nicobar Islands,448882,0,0
07-08-2021,Andaman and Nicobar Islands,450208,0,0
08-08-2021,Andaman and Nicobar Islands,451415,0,0
09-08-2021,Andaman and Nicobar Islands,452587,0,0
02-04-2020,Andhra Pradesh,1800,1175,132
10-04-2020,Andhra Pradesh,6374,6009,365
11-04-2020,Andhra Pradesh,6958,6577,381
12-04-2020,Andhra Pradesh,6958,6553,405
13-04-2020,Andhra Pradesh,8755,8323,432
14-04-2020,Andhra Pradesh,10505,10032,473
15-04-2020,Andhra Pradesh,11613,11088,525
16-04-2020,Andhra Pradesh,20235,19701,534
17-04-2020,Andhra Pradesh,20235,0,572
18-04-2020,Andhra Pradesh,21450,20487,603
19-04-2020,Andhra Pradesh,26958,26311,647
20-04-2020,Andhra Pradesh,30733,30011,722
21-04-2020,Andhra Pradesh,35755,34998,757
22-04-2020,Andhra Pradesh,41512,40699,813
23-04-2020,Andhra Pradesh,48032,47139,893
