Election_id,State_id,Constituency,Candidate_name,Party,EVM_Votes,Postal _Votes,Total _Votes,Percentage_Votes,Result
1892,Haryana,KARNAL,DEVENDER KADIAN,Jannayak Janta Party,11399,68,11467,0.85,Lost
1893,Haryana,KARNAL,MANOJ BANSAL,Independent,4000,4,4004,0.3,Lost
1894,Haryana,KARNAL,GULSHAN KASHYAP,Independent,2987,7,2994,0.22,Lost
1895,Haryana,KARNAL,ASHOK KATARIA,Samst Samaj Party,2898,6,2904,0.22,Lost
1896,Haryana,KARNAL,HARJEET SINGH VIRK,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1857,9,1866,0.14,Lost
1897,Haryana,KARNAL,SONIA,Independent,1846,5,1851,0.14,Lost
1898,Haryana,KARNAL,MANISH,Independent,1587,1000,1587,0.12,Lost
1899,Haryana,KARNAL,LEENA KOHLI,Independent,1281,11,1292,0.1,Lost
1900,Haryana,KARNAL,NITIN GEHLOT,Peoples Party of India (Democratic),1252,1,1253,0.09,Lost
1901,Haryana,KARNAL,BALWAN SINGH,Independent,1186,2,1188,0.09,Lost
1902,Haryana,KARNAL,VINEET CHOUDHARY,Bharatiya Asha Party,1018,2,1020,0.08,Lost
1903,Haryana,KARNAL,ROOP SINGH,Rashtriya Garib Dal,766,3,769,0.06,Lost
1904,Haryana,KARNAL,SAWAMI AGNIVESH,Independent,748,4,752,0.06,Lost
1905,Haryana,KARNAL,AZAD SINGH PUNIA,Independent,703,2,705,0.05,Lost
1906,Haryana,KARNAL,ASHOK KUMAR,Independent,631,2,633,0.05,Lost
1907,Haryana,KARNAL,NOTA,None of the Above,3925,30,3955,0.29,Lost
1908,Haryana,KURUKSHETRA,NAVEEN JINDAL,Bharatiya Janata Party,540677,1498,542175,44.96,Won
1909,Haryana,KURUKSHETRA,DR SUSHIL GUPTA,Aam Aadmi Party,511770,1384,513154,42.55,Lost
1910,Haryana,KURUKSHETRA,ABHAY SINGH CHAUTALA,Indian National Lok Dal,78362,346,78708,6.53,Lost
1911,Haryana,KURUKSHETRA,DEEPAK MEHRA,Bahujan Samaj Party,20864,80,20944,1.74,Lost
1912,Haryana,KURUKSHETRA,JAI KUMAR  SAINI HAMIDPUR,Independent,8090,3,8093,0.67,Lost
1913,Haryana,KURUKSHETRA,PALA RAM SAINI,Jannayak Janta Party,6159,23,6182,0.51,Lost
1914,Haryana,KURUKSHETRA,SATBIR KASHYAP,Rashtriya Janshakti Party(Eklavya),3251,12,3263,0.27,Lost
1915,Haryana,KURUKSHETRA,KHAZAN SINGH SEHGAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2824,35,2859,0.24,Lost
1916,Haryana,KURUKSHETRA,MAHAVIR SINGH,Ekam Sanatan Bharat Dal,2779,4,2783,0.23,Lost
1917,Haryana,KURUKSHETRA,INDERJEET KAMBOJ,Peoples Party of India (Democratic),2107,6,2113,0.18,Lost
1918,Haryana,KURUKSHETRA,PANDIT ANIL UPADHYAY,Independent,2053,3,2056,0.17,Lost
1919,Haryana,KURUKSHETRA,ADV ASHWINI SHARMA HRITTWAL,Independent,2027,2,2029,0.17,Lost
1920,Haryana,KURUKSHETRA,COMRADE OM PARKASH SHASTRI,Socialist Unity Centre Of India (COMMUNIST),1806,6,1812,0.15,Lost
1921,Haryana,KURUKSHETRA,SURENDER SINGH,Independent,1599,1000,1599,0.13,Lost
1922,Haryana,KURUKSHETRA,AMIT MALIK,Independent,1503,3,1506,0.12,Lost
1923,Haryana,KURUKSHETRA,PATASHO DEVI EX1000SARPANCH,Independent,1379,1000,1379,0.11,Lost
1924,Haryana,KURUKSHETRA,DR MAHESH CHAND GAUR,Independent,1338,2,1340,0.11,Lost
1925,Haryana,KURUKSHETRA,JAI PARKASH SHARMA,Independent,1152,2,1154,0.1,Lost
1926,Haryana,KURUKSHETRA,VARUN GUPTA,Independent,1129,5,1134,0.09,Lost
1927,Haryana,KURUKSHETRA,SATNAM BHAZIGAR,Loktantrik Lok Rajyam Party,1063,3,1066,0.09,Lost
1928,Haryana,KURUKSHETRA,NARESH KUMAR,Samata Party,1028,4,1032,0.09,Lost
1929,Haryana,KURUKSHETRA,SATISH DHULL,Bharatiya Asha Party,991,6,997,0.08,Lost
1930,Haryana,KURUKSHETRA,ADVOCATE PARDEEP SAINI,Rashtriya Garib Dal,958,2,960,0.08,Lost
1931,Haryana,KURUKSHETRA,SEWA SINGH,Independent,717,1,718,0.06,Lost
1932,Haryana,KURUKSHETRA,ER VISHAL KUMAR,Independent,715,1000,715,0.06,Lost
1933,Haryana,KURUKSHETRA,COMRADE RAMESH KHATKAR,Independent,714,3,717,0.06,Lost
1934,Haryana,KURUKSHETRA,OM PARKASH INDAL,Global Republican Party,675,3,678,0.06,Lost
1935,Haryana,KURUKSHETRA,PHOOL SINGH,Independent,625,1,626,0.05,Lost
1936,Haryana,KURUKSHETRA,SUNNY KASHYAP TEORA,Independent,576,1000,576,0.05,Lost
1937,Haryana,KURUKSHETRA,RAMDIYA,Independent,553,3,556,0.05,Lost
1938,Haryana,KURUKSHETRA,MANGAT RAM,Independent,509,1000,509,0.04,Lost
1939,Haryana,KURUKSHETRA,NOTA,None of the Above,2420,19,2439,0.2,Lost
1940,Haryana,ROHTAK,DEEPENDER SINGH HOODA,Indian National Congress,778259,5319,783578,62.76,Won
1941,Haryana,ROHTAK,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,435028,3252,438280,35.11,Lost
1942,Haryana,ROHTAK,RAVINDER,Jannayak Janta Party,6209,41,6250,0.5,Lost
1943,Haryana,ROHTAK,RAKESH SINGH,Rashtrawadi Janlok Party (Satya),2706,8,2714,0.22,Lost
1944,Haryana,ROHTAK,BISHAMBAR KUMAR,Independent,2394,1000,2394,0.19,Lost
1945,Haryana,ROHTAK,KALAWATI,Independent,2135,15,2150,0.17,Lost
1946,Haryana,ROHTAK,PARVEEN KUMAR,Independent,1927,1,1928,0.15,Lost
1947,Haryana,ROHTAK,UDEVIR,Independent,1530,2,1532,0.12,Lost
1948,Haryana,ROHTAK,VINOD KUMAR,Peoples Party of India (Democratic),805,4,809,0.06,Lost
1949,Haryana,ROHTAK,ASHOK KUMAR,Independent,627,2,629,0.05,Lost
1950,Haryana,ROHTAK,VISHESH BAMEL,Bharatiya Asha Party,613,5,618,0.05,Lost
1951,Haryana,ROHTAK,JAIKARAN MANDAUTHI,Socialist Unity Centre Of India (COMMUNIST),600,7,607,0.05,Lost
1952,Haryana,ROHTAK,JAGBIR SINGH,Bharatheeya Jawan Kisan Party,574,19,593,0.05,Lost
1953,Haryana,ROHTAK,SATISH KUMAR,Independent,524,1000,524,0.04,Lost
1954,Haryana,ROHTAK,SURENDER,Aam Aadmi Parivartan Party,447,23,470,0.04,Lost
1955,Haryana,ROHTAK,MANISHA,Independent,410,21,431,0.03,Lost
1956,Haryana,ROHTAK,ARVIND KUMAR SHARMA,Independent,360,7,367,0.03,Lost
1957,Haryana,ROHTAK,SATISH KUMAR,Ekam Sanatan Bharat Dal,359,4,363,0.03,Lost
1958,Haryana,ROHTAK,ARVIND,Independent,330,1000,330,0.03,Lost
1959,Haryana,ROHTAK,ADVOCATE ADITYA DHANKHAR,Super Power India Party,275,12,287,0.02,Lost
1960,Haryana,ROHTAK,MASTER RANDHIR SINGH,Independent,267,2,269,0.02,Lost
1961,Haryana,ROHTAK,MANJEET,Independent,267,2,269,0.02,Lost
1962,Haryana,ROHTAK,SANJAY,Independent,210,2,212,0.02,Lost
1963,Haryana,ROHTAK,YOGESH SHARMA,Independent,190,1000,190,0.02,Lost
1964,Haryana,ROHTAK,VINAY,Independent,156,3,159,0.01,Lost
1965,Haryana,ROHTAK,LALIT KUMAR,Independent,129,2,131,0.01,Lost
1966,Haryana,ROHTAK,NOTA,None of the Above,2321,41,2362,0.19,Lost
